index,epsilon,pvalue,product,gene
NTC_34,-0.0426763333333,0.771732860816,-0.00480249611153,NTC
NTC_2471,-0.374423333333,0.970456947568,-0.00487638708,NTC
PPAP2A,-0.0880466666667,0.879796743037,-0.00489694869845,PPAP2A
F9,-0.032796,0.708822617223,-0.0049017699646,F9
NTC_61,-0.00598733333333,0.150377351855,-0.00492648304836,NTC
NTC_2496,-0.00747866666667,0.219321689427,-0.00492783120442,NTC
CCKAR,-0.143823333333,0.923779370645,-0.00495208767926,CCKAR
RPS6KA1_P2,-0.0111766666667,0.359341748588,-0.00496794253244,RPS6KA1
NTC_1928,-0.0436533333333,0.767015098812,-0.00502869317631,NTC
FN3KRP,-0.219746666667,0.948324067406,-0.00506367240865,FN3KRP
FADS2_P2,-0.0594126666667,0.821748080885,-0.00506560128553,FADS2
DUSP3,-0.00785333333333,0.225167542217,-0.00508498788319,DUSP3
ENPEP,-0.04806,0.783564093173,-0.00509077826925,ENPEP
ALDH18A1,-0.00883666666667,0.265218732708,-0.00509341759207,ALDH18A1
MAP2K2,-0.67721,0.982763969804,-0.00511345969452,MAP2K2
NTC_735,-0.05817,0.814553206834,-0.00518181513959,NTC
SLC13A2,-0.0494666666667,0.783564093173,-0.00523978010235,SLC13A2
NTC_1283,-0.02545,0.621445645666,-0.00525788984884,NTC
NTC_421,-0.0321866666667,0.683723708915,-0.00531464180608,NTC
MS4A2,-0.0166866666667,0.47589108935,-0.00538132363045,MS4A2
PYCR1,-0.0187233333333,0.514916432345,-0.00539724888879,PYCR1
NTC_1502,-0.00974666666667,0.277317288867,-0.00542911803532,NTC
NTC_459,-0.175966666667,0.931136171204,-0.00545264430896,NTC
NTC_1146,-0.01601,0.455138216381,-0.0054731257151,NTC
NTC_1341,-0.02737,0.630191401605,-0.00548843840522,NTC
TST,-0.00879,0.237190340292,-0.0054928973861,TST
NTC_995,-0.13675,0.911532632326,-0.00550114881196,NTC
NTC_454,-0.281123333333,0.95569807872,-0.00553230677895,NTC
RXRG,-0.151056666667,0.918878374856,-0.00555011938849,RXRG
NTC_2093,-0.181606666667,0.931136171204,-0.00562740987385,NTC
NTC_452,-0.324023333333,0.960616264722,-0.00565422801955,NTC
NTC_2103,-0.0742266666667,0.838592987615,-0.00567453762947,NTC
NTC_1343,-0.0529266666667,0.781193586604,-0.00567592616888,NTC
DGKQ_P1,-0.00748966666667,0.171558084633,-0.0057340049989,DGKQ
SLC25A20,-0.0267733333333,0.610588642536,-0.0057362208885,SLC25A20
NTC_1684,-0.0101833333333,0.271894304009,-0.005759692218,NTC
NTC_2196,-0.0112,0.305532964706,-0.00576734956885,NTC
GOT1,-0.03956,0.713421140759,-0.00580163324439,GOT1
NTC_1689,-0.0945703333333,0.86763887574,-0.00583130104627,NTC
NTC_388,-0.0880386666667,0.857935018332,-0.00585858635563,NTC
IP6K3,-0.0177833333333,0.468285305255,-0.00585942107698,IP6K3
NTC_910,-0.0122573333333,0.33250155052,-0.00586153432955,NTC
PIP5K1C,-0.121266666667,0.894423281878,-0.00587620729853,PIP5K1C
MKNK1_P1,-0.121596666667,0.894423281878,-0.00589219807705,MKNK1
NTC_2234,-0.00784666666667,0.176444287053,-0.00591161902217,NTC
NTC_1926,-0.01663,0.440371248944,-0.00592329074658,NTC
CDC42SE2,-0.116753333333,0.889543526887,-0.00593489840925,CDC42SE2
NTC_202,-0.127046666667,0.896864575381,-0.00600589353053,NTC
NTC_838,-0.010045,0.248392190437,-0.00607583941978,NTC
NTC_441,-0.12244,0.891982793666,-0.0060783529655,NTC
NTC_1339,-0.0597936666667,0.790686808616,-0.00609868532746,NTC
NTC_1348,-0.253073333333,0.945866951863,-0.00611676938479,NTC
NQO1_P1,-0.126506666667,0.894423281878,-0.00613012147866,NQO1
ERN2,-0.0316433333333,0.632386342264,-0.00629757766621,ERN2
SLC1A5_P2,-0.02741,0.584881355742,-0.00638467221646,SLC1A5
NTC_613,-0.0271673333333,0.57853366825,-0.00645689711108,NTC
SCNN1G,-0.31046,0.95323964962,-0.00645691654492,SCNN1G
NTC_1627,-0.09709,0.857935018332,-0.0064609128103,NTC
NTC_1631,-0.0108033333333,0.250931047021,-0.00648681397914,NTC
ALAS1,-0.0744266666667,0.816949905192,-0.00653500170812,ALAS1
VWF,-0.167973333333,0.913980459107,-0.00656155733323,VWF
NTC_2353,-0.27188,0.945866951863,-0.00657132554597,NTC
NDUFS5_P2,-0.0632366666667,0.783564093173,-0.00669837387612,NDUFS5
NTC_1830,-0.14175,0.896864575381,-0.00670096611182,NTC
ADCK5,-0.12089,0.879796743037,-0.00672361771965,ADCK5
MTMR12,-0.01136,0.254773636046,-0.00674608504776,MTMR12
NTC_121,-0.0146766666667,0.34496664021,-0.00678389144487,NTC
AANAT,-0.0160233333333,0.365849574839,-0.00699734873238,AANAT
CGA_P2,-0.120753333333,0.87493007771,-0.00700691181453,CGA
NTC_1992,-0.0355,0.634583894779,-0.00701163887179,NTC
NTC_867,-0.185296666667,0.916428943308,-0.00702296659154,NTC
NTC_814,-0.405413333333,0.960616264722,-0.00707448875749,NTC
NTC_1134,-0.0165266666667,0.370777953931,-0.00712111088742,NTC
NTC_1969,-0.17703,0.911532632326,-0.00712152376001,NTC
NTC_2403,-0.18835,0.916428943308,-0.00713869159825,NTC
NTC_2490,-0.0737533333333,0.800211186859,-0.00713898203898,NTC
SNX3,-0.285021333333,0.943410451275,-0.00721084502657,SNX3
NTC_391,-0.09476,0.838592987615,-0.00724428577917,NTC
NTC_462,-0.170546666667,0.906639678085,-0.0072593663541,NTC
ANXA5,-0.0408066666667,0.663444061119,-0.00727157208998,ANXA5
NTC_1289,-0.133933333333,0.882231683084,-0.00728829703745,NTC
NTC_2510,-0.483967,0.965535950017,-0.00737156823618,NTC
SCYL3,-2.29168666667,0.992612660851,-0.0073796656707,SCYL3
NTC_469,-0.0510533333333,0.715724073803,-0.00741572001418,NTC
NTC_1720,-0.0156433333333,0.335590213944,-0.00741792337144,NTC
PINK1,-0.248596666667,0.933589862391,-0.00741908730538,PINK1
DHRS4,-0.0500333333333,0.708822617223,-0.0074781037493,DHRS4
PPP1R3D,-1.00444333333,0.982763969804,-0.00758432465621,PPP1R3D
NTC_132,-0.0136266666667,0.271894304009,-0.00770724117421,NTC
NTC_1960,-0.511025,0.965535950017,-0.00778370355395,NTC
NTC_191,-0.0874966666667,0.814553206834,-0.00779425050708,NTC
DDR1_P1,-0.16135,0.894423281878,-0.00781852155814,DDR1
RPS6KA3,-0.20214,0.913980459107,-0.007896212887,RPS6KA3
NTC_897,-0.0970833333333,0.82895765387,-0.00790915142887,NTC
NTC_303,-0.279096666667,0.936044061931,-0.00801110907173,NTC
KSR1,-0.122706666667,0.860359158481,-0.00801522571243,KSR1
OXT,-0.0758633333333,0.783564093173,-0.00803585952489,OXT
PTPRS,-0.0741733333333,0.778825506144,-0.00805224475339,PTPRS
PLEKHA4,-0.012125,0.215867587638,-0.0080729773115,PLEKHA4
NTC_1416,-0.0276533333333,0.508958111756,-0.008111219306,NTC
RAMP1,-0.0180066666667,0.352907147088,-0.00814512742865,RAMP1
MTAP,-0.020463,0.399480283576,-0.00815460066332,MTAP
NTC_142,-0.127323333333,0.862784359016,-0.0081611374836,NTC
NTC_1543,-0.0177166666667,0.34496664021,-0.00818904906416,NTC
NTC_1993,-0.139053333333,0.872498388879,-0.0082368751379,NTC
FTCD_P1,-0.0694966666667,0.759954884832,-0.00828484976853,FTCD
GRM4_P2,-0.0266866666667,0.487425647305,-0.00832868510964,GRM4
NTC_2191,-0.0429,0.63898929314,-0.00834432536603,NTC
NTC_2442,-0.0192166666667,0.367487509663,-0.00835458836973,NTC
NTC_661,-0.0276133333333,0.497151497582,-0.00838095726175,NTC
DPP6_ENST00000377770.3,-0.0503833333333,0.681459025181,-0.00839186071349,DPP6
NTC_356,-0.0517533333333,0.688262164657,-0.00839677669973,NTC
HSD17B8,-0.00798166666667,0.0867353651105,-0.00847496390937,HSD17B8
CDK9,-0.125684333333,0.855512477341,-0.00851808627525,CDK9
SPEG_P1,-0.232026666667,0.918878374856,-0.0085251166316,SPEG
FAH,-0.038693,0.601963877868,-0.00852908130291,FAH
NTC_316,-0.0638813333333,0.734241201619,-0.00857039946178,NTC
NTC_408,-0.0201666666667,0.374086626575,-0.00861172764993,NTC
NTC_2384,-0.0550933333333,0.697372690541,-0.00862403844903,NTC
