sgRNA	Gene	t0	iPSC_t10_1	iPSC_t10_2
ACPP_+_132036703.23-P1P2_h1_Top5	ACPP	2307.0	5511.0	5142.0
ACPT_+_51293697.23-ENST00000270593.1_h1_Top5	ACPT_ENST00000270593.1	2026.0	5933.0	6192.0
ACPT_+_51293761.23-ENST00000270593.1_h1_Top5	ACPT_ENST00000270593.1	1411.0	2506.0	2563.0
ACPT_+_51294074.23-ENST00000270593.1_h1_Top5	ACPT_ENST00000270593.1	960.0	1973.0	2137.0
ACPT_-_51293910.23-ENST00000270593.1_h1_Top5	ACPT_ENST00000270593.1	1283.0	3012.0	2890.0
ACPT_-_51294122.23-ENST00000270593.1_h1_Top5	ACPT_ENST00000270593.1	171.0	90.0	34.0
ACSL1_+_185746700.23-P1P2_h1_Top5	ACSL1	82.0	1.0	27.0
ACSL1_+_185747071.23-P1P2_h1_Top5	ACSL1	732.0	1257.0	1299.0
ACSL1_+_185747074.23-P1P2_h1_Top5	ACSL1	836.0	1932.0	1855.0
ACSL1_+_185747085.23-P1P2_h1_Top5	ACSL1	2572.0	5390.0	5512.0
ACSL1_-_185746686.23-P1P2_h1_Top5	ACSL1	821.0	969.0	1688.0
ACSL3_+_223725692.23-P1P2_h1_Top5	ACSL3	1796.0	3912.0	3727.0
ACSL3_+_223726215.23-P1P2_h1_Top5	ACSL3	2008.0	5191.0	4797.0
ACSL3_-_223725802.23-P1P2_h1_Top5	ACSL3	2084.0	4075.0	3936.0
ACSL3_-_223725834.23-P1P2_h1_Top5	ACSL3	1304.0	1283.0	1496.0
ACSL3_-_223726162.23-P1P2_h1_Top5	ACSL3	1485.0	3292.0	2841.0
ACSL4_+_108976382.23-P1P2_h1_Top5	ACSL4	399.0	957.0	1050.0
ACSL4_-_108976096.23-P1P2_h1_Top5	ACSL4	1293.0	3374.0	3322.0
ACSL4_-_108976106.23-P1P2_h1_Top5	ACSL4	896.0	960.0	874.0
ACSL4_-_108976456.23-P1P2_h1_Top5	ACSL4	1105.0	2476.0	2657.0
ACSL4_-_108976463.23-P1P2_h1_Top5	ACSL4	1525.0	4378.0	3641.0
ACSS2_+_33464457.23-P1P2_h1_Top5	ACSS2	536.0	1579.0	2053.0
ACSS2_-_33464420.23-P1P2_h1_Top5	ACSS2	1636.0	3512.0	3762.0
ACSS2_-_33464423.23-P1P2_h1_Top5	ACSS2	592.0	1281.0	1262.0
ACSS2_-_33464453.23-P1P2_h1_Top5	ACSS2	1192.0	3103.0	2695.0
ACSS2_-_33464808.23-P1P2_h1_Top5	ACSS2	2121.0	4905.0	5620.0
ACTA1_+_229568301.23-P2_h1_Top5	ACTA1_P2	2461.0	4304.0	5197.0
ACTA1_+_229569744.23-P1_h1_Top5	ACTA1_P1	1584.0	5705.0	4934.0
ACTA1_-_229568328.23-P2_h1_Top5	ACTA1_P2	1162.0	2963.0	2838.0
ACTA1_-_229568723.23-P2_h1_Top5	ACTA1_P2	1013.0	2345.0	1963.0
ACTA1_-_229568745.23-P2_h1_Top5	ACTA1_P2	1380.0	3009.0	3080.0
ACTA1_-_229568779.23-P2_h1_Top5	ACTA1_P2	1515.0	5321.0	5145.0
ACTA1_-_229569627.23-P1_h1_Top5	ACTA1_P1	1920.0	2586.0	2308.0
ACTA1_-_229569754.23-P1_h1_Top5	ACTA1_P1	1035.0	2326.0	1978.0
ACTA1_-_229569824.23-P1_h1_Top5	ACTA1_P1	2906.0	6282.0	6997.0
ACTA1_-_229569839.23-P1_h1_Top5	ACTA1_P1	1366.0	3378.0	3370.0
ACTR2_+_65455294.23-P1P2_h1_Top5	ACTR2	332.0	731.0	582.0
ACTR2_+_65455348.23-P1P2_h1_Top5	ACTR2	1655.0	786.0	712.0
ACTR2_-_65454953.23-P1P2_h1_Top5	ACTR2	929.0	401.0	430.0
ACTR2_-_65454971.23-P1P2_h1_Top5	ACTR2	838.0	406.0	425.0
ACTR2_-_65455345.23-P1P2_h1_Top5	ACTR2	1652.0	727.0	867.0
ACVR1B_+_52345561.23-P1P2_h1_Top5	ACVR1B	2455.0	5620.0	7454.0
ACVR1B_+_52345897.23-P1P2_h1_Top5	ACVR1B	1658.0	5533.0	5510.0
ACVR1B_+_52345907.23-P1P2_h1_Top5	ACVR1B	1835.0	2563.0	2903.0
ACVR1B_-_52345530.23-P1P2_h1_Top5	ACVR1B	2933.0	10703.0	8934.0
ACVR1B_-_52345917.23-P1P2_h1_Top5	ACVR1B	1388.0	4481.0	4999.0
ACVR1C_+_158484889.23-P1P2_h1_Top5	ACVR1C	2779.0	7489.0	7413.0
ACVR1C_+_158484901.23-P1P2_h1_Top5	ACVR1C	1484.0	2732.0	3467.0
ACVR1C_+_158484938.23-P1P2_h1_Top5	ACVR1C	1560.0	4375.0	4385.0
ACVR1C_+_158485339.23-P1P2_h1_Top5	ACVR1C	2589.0	5581.0	7645.0
ACVR1C_-_158485307.23-P1P2_h1_Top5	ACVR1C	2543.0	5635.0	5587.0
ACVR1_+_158732079.23-P1P2_h1_Top5	ACVR1	1804.0	1432.0	1851.0
ACVR1_+_158732198.23-P1P2_h1_Top5	ACVR1	1780.0	3098.0	4025.0
ACVR1_+_158732232.23-P1P2_h1_Top5	ACVR1	3343.0	3412.0	3763.0
ACVR1_+_158732258.23-P1P2_h1_Top5	ACVR1	1525.0	3406.0	3072.0
ACVR1_-_158732511.23-P1P2_h1_Top5	ACVR1	1539.0	3170.0	3280.0
ACVR2A_+_148602294.23-P1P2_h1_Top5	ACVR2A	1517.0	3681.0	4145.0
ACVR2A_+_148602343.23-P1P2_h1_Top5	ACVR2A	1145.0	2767.0	2364.0
ACVR2A_+_148602346.23-P1P2_h1_Top5	ACVR2A	835.0	1838.0	2582.0
ACVR2A_-_148602102.23-P1P2_h1_Top5	ACVR2A	2369.0	5504.0	6284.0
ACVR2A_-_148602669.23-P1P2_h1_Top5	ACVR2A	2033.0	6378.0	6213.0
ACVR2B_+_38495339.23-P1P2_h1_Top5	ACVR2B	1849.0	6482.0	5965.0
ACVR2B_+_38495450.23-P1P2_h1_Top5	ACVR2B	649.0	2148.0	1741.0
ACVR2B_+_38495606.23-P1P2_h1_Top5	ACVR2B	1190.0	3569.0	3766.0
ACVR2B_+_38495842.23-P1P2_h1_Top5	ACVR2B	2249.0	6484.0	6240.0
ACVR2B_-_38495819.23-P1P2_h1_Top5	ACVR2B	2093.0	5554.0	6671.0
ACVRL1_+_52300726.23-P1P2_h1_Top5	ACVRL1	4440.0	9212.0	10439.0
ACVRL1_+_52300742.23-P1P2_h1_Top5	ACVRL1	1578.0	3243.0	3408.0
ACVRL1_+_52300819.23-P1P2_h1_Top5	ACVRL1	1536.0	3508.0	3782.0
ACVRL1_-_52300776.23-P1P2_h1_Top5	ACVRL1	770.0	716.0	878.0
ACVRL1_-_52301119.23-P1P2_h1_Top5	ACVRL1	1393.0	3065.0	3509.0
ACY1_+_52017535.23-P1P2_h1_Top5	ACY1	4386.0	9351.0	10361.0
ACY1_+_52017980.23-P1P2_h1_Top5	ACY1	1696.0	3527.0	3163.0
ACY1_-_52017921.23-P1P2_h1_Top5	ACY1	240.0	366.0	404.0
ACY1_-_52017938.23-P1P2_h1_Top5	ACY1	2976.0	7412.0	7845.0
ACY3_+_67414985.23-P2_h1_Top5	ACY3_P2	1403.0	3227.0	3833.0
ACY3_+_67415013.23-P2_h1_Top5	ACY3_P2	2512.0	6843.0	5428.0
ACY3_+_67417722.23-P1_h1_Top5	ACY3_P1	776.0	1639.0	1781.0
ACY3_+_67417960.23-P1_h1_Top5	ACY3_P1	3056.0	7643.0	7829.0
ACY3_+_67418110.23-P1_h1_Top5	ACY3_P1	1262.0	2116.0	1892.0
ACY3_-_67414577.23-P2_h1_Top5	ACY3_P2	1130.0	2753.0	3236.0
ACY3_-_67414607.23-P2_h1_Top5	ACY3_P2	2319.0	5530.0	5507.0
ACY3_-_67414970.23-P2_h1_Top5	ACY3_P2	971.0	2112.0	1855.0
ACY3_-_67417956.23-P1_h1_Top5	ACY3_P1	2362.0	6756.0	6405.0
ACY3_-_67418149.23-P1_h1_Top5	ACY3_P1	980.0	1805.0	2079.0
ACYP2_+_54342830.23-P1P2_h1_Top5	ACYP2	2673.0	4528.0	4899.0
ACYP2_-_54342821.23-P1P2_h1_Top5	ACYP2	401.0	1016.0	1074.0
